modele;annee;prix;km
KIA Picanto;2021;1111;60000
Volkswagen Golf;1978;8000;250000
Volkswagen Golf;2020;48000;350000
Volkswagen Golf;2012;42000;227000
Volkswagen Golf;2022;111111;95000
Volkswagen Golf;2019;72000;108000
Volkswagen Golf;2021;74800;99000
Volkswagen Golf;2020;48000;350000
Volkswagen Golf;2022;75000;174000
Volkswagen Golf;2018;49000;340000
Volkswagen Golf;2008;27000;290000
Volkswagen Golf;2021;84000;135000
Volkswagen Golf;2013;41500;199000
Volkswagen Golf;2021;75000;128000
Volkswagen Golf;2002;26500;
Volkswagen Golf;2013;43000;251000
Volkswagen Golf;2014;50000;192000
Volkswagen Golf;2012;40000;227000
Volkswagen Golf;2018;57500;156000
Volkswagen Golf;2016;60000;90000
Volkswagen Golf;2019;62000;126000
Volkswagen Golf;2021;75800;99000
Volkswagen Golf;2012;38000;300000
Volkswagen Golf;2012;45000;110000
Volkswagen Golf;2011;45000;245000
Volkswagen Golf;2000;24000;230000
Volkswagen Golf;2020;123000;130000
Volkswagen Golf;2011;52000;280000
Volkswagen Golf;2012;34000;235000
Volkswagen Golf;2019;68000;112000
Volkswagen Golf;2018;1111;156000
Volkswagen Golf;2011;35000;235000
Volkswagen Golf;2013;41000;242500
Volkswagen Golf;2010;34000;271000
Volkswagen Golf;2011;39000;224000
Volkswagen Golf;2010;32000;
Volkswagen Golf;2015;58000;116000
Volkswagen Golf;2018;52000;205000
Volkswagen Golf;2013;41000;
Renault Clio;2023;38500;83000
Renault Clio;2007;12345;210000
Renault Clio;2017;39000;70000
Renault Clio;2021;38500;138000
Renault Clio;2022;40000;57000
Renault Clio;2021;36000;190000
Renault Clio;2022;39000;105000
Renault Clio;2008;28000;153000
Renault Clio;2007;17000;220300
Renault Clio;2004;16000;420000
Renault Clio;2013;23000;229000
Renault Clio;2023;38500;145000
Renault Clio;2013;34000;163000
Renault Clio;2016;32500;188000
Renault Clio;1996;13000;320000
Renault Clio;2010;20500;164000
Renault Clio;2018;35500;430000
Renault Clio;2009;26500;209000
Renault Clio;2017;42000;125000
Renault Clio;2018;35000;165000
Renault Clio;2018;35500;270000
Renault Clio;2021;38000;152000
Renault Clio;2021;46000;690000
Renault Clio;2007;19500;270000
Renault Clio;2022;40000;100000
Renault Clio;2007;17500;30000
Renault Clio;2021;45000;100000
Renault Clio;2003;21000;300000
Renault Clio;2019;37000;150000
Renault Clio;2010;24000;210000
Renault Clio;2021;37000;127000
Renault Clio;2017;40000;146000
Renault Clio;2009;23000;270000
Renault Clio;2008;28000;153000
Renault Clio;2016;37500;105000
Renault Clio;2017;34000;214000
Renault Clio;2007;26000;236000
Renault Clio;2022;37500;165000
Renault Clio;2019;43000;104000
Renault Clio;2001;21000;420000
Renault Clio;2008;22800;230000
Volkswagen Polo;2014;28500;272750
Volkswagen Polo;2007;24000;199000
Volkswagen Polo;2004;19400;220000
Volkswagen Polo;2000;15800;230000
Dacia Duster;2014;40000;149000
Dacia Duster;2012;34500;215000
Dacia Duster;2018;54400;153000
Citroën C3;2022;42000;128000
Citroën C3;2021;34500;149000
Citroën C3;2009;17000;310000
Citroën C3;2017;25000;155000
Citroën C3;2016;22000;138000
